GISAID_isolate_id,genotype_profile,genotype_label,USDA_genotype
EPI_ISL_19490418,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19490417,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19490416,4_3_7_1_1_1_1_1,H5N1/2022/R12,B1.3
EPI_ISL_19490415,4_5_9_1_2_1_1_1,H5N1/2023/R6,C2.1
EPI_ISL_19490414,4_5_9_1_2_1_1_1,H5N1/2023/R6,C2.1
EPI_ISL_19490413,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490399,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490393,3_2_1_1_6_1_1_2,H5N1/2023/R5,B3.7
EPI_ISL_19490392,2_1_1_1_2_1_1_1,H5N1/2020/R1,A2
EPI_ISL_19490391,4_5_9_1_2_1_1_1,H5N1/2023/R6,C2.1
EPI_ISL_19490388,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490387,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490386,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19490385,2_1_1_1_2_1_1_1,H5N1/2020/R1,A2
EPI_ISL_19490384,4_3_1_1_13_1_1_1,NA,Minor57
EPI_ISL_19490383,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490382,2_1_1_1_2_1_1_1,H5N1/2020/R1,A2
EPI_ISL_19490381,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490380,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490379,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490378,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490377,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19490376,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_19474773,1_6_8_1_5_1_1_5,NA,Notassigned
EPI_ISL_19410281,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410277,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410266,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410265,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410264,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410263,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410262,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410261,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19409849,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19409779,16_1_2_1_2_1_1_1,H5N1/2023/R9,Notassigned
EPI_ISL_19310922,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19310918,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19310917,1_1_4_1_4_1_1_4,H5N1/2022/R10,Notassigned
EPI_ISL_19310895,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19310894,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19228239,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19228236,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19162731,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19162729,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131450,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131449,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131448,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131447,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131446,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131445,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131444,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131443,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131442,4_5_9_1_2_1_1_1,H5N1/2023/R6,C2.1
EPI_ISL_19131441,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.12
EPI_ISL_19131440,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131439,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131438,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131437,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131436,2_1_1_1_2_1_1_1,H5N1/2020/R1,A2
EPI_ISL_19131435,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131434,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131433,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131432,3_2_1_1_6_1_1_2,H5N1/2023/R5,B3.7
EPI_ISL_19131394,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131393,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131392,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131391,7_2_1_1_8_1_1_2,H5N1/2023/R7,B3.10
EPI_ISL_19131390,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131389,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131388,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.8
EPI_ISL_19131387,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131386,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131385,3_2_1_1_6_1_1_2,H5N1/2023/R5,B3.7
EPI_ISL_19131366,3_2_1_1_6_1_1_2,H5N1/2023/R5,B3.7
EPI_ISL_19131365,3_2_1_1_6_1_1_2,H5N1/2023/R5,B3.7
EPI_ISL_19131364,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131363,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131362,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131361,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131360,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131359,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131358,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131357,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_19131356,7_30_1_1_1_1_1_2,NA,Minor55
EPI_ISL_19131196,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131164,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131163,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131162,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131159,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19131156,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19064367,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_19064366,4_3_7_1_1_1_1_1,H5N1/2022/R12,B1.3
EPI_ISL_19064365,4_3_7_1_1_1_1_1,H5N1/2022/R12,B1.3
EPI_ISL_19064364,4_3_7_1_1_1_1_1,H5N1/2022/R12,B1.3
EPI_ISL_19064363,4_3_7_1_1_1_1_1,H5N1/2022/R12,B1.3
EPI_ISL_19047951,16_8_2_1_23_1_1_1,NA,Notassigned
EPI_ISL_19033340,16_1_2_1_2_1_1_1,H5N1/2023/R9,Notassigned
EPI_ISL_19033339,16_1_2_1_2_1_1_1,H5N1/2023/R9,Notassigned
EPI_ISL_19033313,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033312,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033311,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033310,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033281,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033280,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033212,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033211,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033210,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19033209,8_6_2_1_2_3_1_1,H5N5/2020/R2,NA
EPI_ISL_19033208,8_6_2_1_2_3_1_1,H5N5/2020/R2,NA
EPI_ISL_19033207,8_6_2_1_2_3_1_1,H5N5/2020/R2,NA
EPI_ISL_18983935,19_1_1_1_2_1_1_1,H5N1/2021/R8,Notassigned
EPI_ISL_18983934,19_1_1_1_2_1_1_1,H5N1/2021/R8,Notassigned
EPI_ISL_18983933,19_1_1_1_2_1_1_1,H5N1/2021/R8,Notassigned
EPI_ISL_18901717,8_6_2_1_2_3_1_1,H5N5/2020/R2,NA
EPI_ISL_18901714,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_18901681,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_18901677,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_18901673,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_18901672,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_18901671,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_18901670,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_18901642,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_18901610,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_18770565,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18770564,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18770563,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18770562,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18737543,3_2_1_1_6_1_1_2,H5N1/2023/R5,B3.7
EPI_ISL_18737542,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737541,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737540,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737539,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737538,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.9
EPI_ISL_18737537,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737536,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737535,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737534,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18737533,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18737532,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737531,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737521,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737519,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737516,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18737507,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18737498,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737490,7_2_1_1_1_1_1_2,H5N1/2022/R18,B3.6
EPI_ISL_18737481,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18737472,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18737463,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18737455,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18737454,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18737453,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18737452,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720873,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720869,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720867,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720866,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720865,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720833,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720832,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720831,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720830,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_19410269,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410124,14_8_1_1_7_1_1_5,H5N1/2021/R6,Notassigned
EPI_ISL_19310900,14_8_1_1_7_1_1_5,H5N1/2021/R6,Notassigned
EPI_ISL_19310899,16_1_2_1_2_1_1_1,H5N1/2023/R9,Notassigned
EPI_ISL_19228246,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228215,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19033549,8_1_2_1_2_1_1_1,NA,Notassigned
EPI_ISL_19033337,16_1_2_1_2_1_1_1,H5N1/2023/R9,Notassigned
EPI_ISL_19000414,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_19000413,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_19000412,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_19000411,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_19000410,8_8_2_1_2_1_1_1,H5N1/2023/R2,Notassigned
EPI_ISL_19000409,8_8_2_1_2_1_1_1,H5N1/2023/R2,Notassigned
EPI_ISL_19000408,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_19000407,8_8_2_1_2_1_1_1,H5N1/2023/R2,Notassigned
EPI_ISL_19000406,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_18720920,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720919,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720918,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720917,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720916,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720849,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720847,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720845,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720843,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720841,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720839,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720837,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720835,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720829,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720828,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720826,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720824,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720822,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720820,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720818,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720816,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720814,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720813,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720812,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720811,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720793,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720792,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720791,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720790,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720789,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720787,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720783,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720782,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720781,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720780,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720779,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720778,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720777,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720776,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720775,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720773,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720771,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720769,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720768,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720767,8_12_1_1_2_1_1_1,H5N1/2021/R12,Notassigned
EPI_ISL_18720766,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720765,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720763,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720761,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720759,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720757,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720755,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720753,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720751,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720749,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720747,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720745,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720743,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720739,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720737,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720735,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720733,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720731,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720729,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720727,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720725,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720723,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720722,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720720,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720718,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720706,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720704,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720702,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720700,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720699,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720698,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720697,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720696,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720695,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720694,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720693,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720692,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720691,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_18720690,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720689,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720688,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720687,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720686,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720685,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_18720681,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720680,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_19410271,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410268,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19410267,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_19295288,24_13_17_1_16_10_1_9,NA,NA
EPI_ISL_19279634,10_9_2_1_5_1_1_6,H5N1/2022/R11,Notassigned
EPI_ISL_19279633,10_9_2_1_5_1_1_8,H5N1/2023/R4,Notassigned
EPI_ISL_19279632,10_9_2_1_5_1_1_8,H5N1/2023/R4,Notassigned
EPI_ISL_19066754,10_9_2_1_5_1_1_6,H5N1/2022/R11,Notassigned
EPI_ISL_19064404,4_5_9_1_2_1_1_1,H5N1/2023/R6,C2.1
EPI_ISL_19064388,4_5_9_1_2_1_1_1,H5N1/2023/R6,C2.1
EPI_ISL_19064387,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_19033558,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19033555,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19033554,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19033333,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_19033331,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_18983110,1_6_2_1_2_1_1_1,H5N1/2022/R17,Notassigned
EPI_ISL_18819961,25_9_8_1_18_6_1_1,NA,NA
EPI_ISL_18819960,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18819959,25_9_8_1_18_6_1_1,NA,NA
EPI_ISL_18819797,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18720800,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720799,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720798,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720797,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720796,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720795,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18720794,8_7_1_1_2_1_1_1,H5N1/2021/R1,A4
EPI_ISL_18901640,8_6_2_1_2_3_1_1,H5N5/2020/R2,NA
EPI_ISL_18720864,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18901675,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_18851332,8_6_2_1_2_3_1_1,H5N5/2020/R2,NA
EPI_ISL_19442322,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19376860,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19376859,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361587,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361586,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361585,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361584,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361583,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361582,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361581,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361580,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19361579,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228682,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228681,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228678,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228677,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228676,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228675,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228668,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
EPI_ISL_19228667,3_2_1_1_1_1_1_2,H5N1/2023/R10,B3.13
